ID,이름,카테고리,등급,Lv,주요스탯,특수 효과,획득처
1951,살아있는 검,성장형 장비,D,1,,"성장: 1000회 처치마다 등급 상승, 최대등급: SS",연금술사의 탑
2951,상처입은 갑옷,성장형 장비,D,1,,"성장: 50000 피해 누적마다 등급 상승, 최대등급: S",전장의 유물
1701,운명의 주사위 검,운명의 장비,B~SS,1~50,ATK:30~200,공격 시 데미지 ±30% 랜덤,운명의 사원
1901,슬라임 베인,특화 장비,D,5,ATK:8,슬라임 종족에게 +500%,슬라임 동굴
1953,전투 학습 장갑,성장형 장비,D,5,,"성장: 10000 데미지 누적마다 등급 상승, 최대등급: S",수련의 전당
2952,치유받은 로브,성장형 장비,D,5,,"성장: 100000 회복량 누적마다 등급 상승, 최대등급: A",치유사 길드
3505,축복받은 십자가,고대 유물,A,5,,"신성 데미지 +30%, 언데드 피해 -30%",성스러운 대성당 (비밀)
1702,도박사의 단검,운명의 장비,C~S,5~40,ATK:20~120,"치명타 확률 0~50% 랜덤, 매 전투 변경",카지노 던전
2701,점술사의 로브,운명의 장비,B~S,5~35,HP:100~400,회피 10~30% 랜덤 (전투마다 변경),점술사의 탑
3501,현자의 반지,고대 유물,A,8,,"AP_Attack +25, 모든 스킬 쿨타임 -15%",고대 도서관
1504,요정의 비수,고대 유물,S,8,ATK:25,"회피 +25%, 속도 +30, 독 면역",요정의 숲 (히든)
1902,고블린 사냥꾼의 칼,특화 장비,D,10,ATK:15,고블린 종족에게 +400%,고블린 동굴
1952,영혼 수집 낫,성장형 장비,C,10,,"성장: 보스 100회 처치마다 등급 상승, 최대등급: SSS",사신의 영역
1501,잃어버린 왕국의 단검,고대 유물,A,10,ATK:40,"치명타 +20%, 은신 시 +50% 데미지",비밀 던전 발견
2504,요정의 날개 망토,고대 유물,S,10,"HP:100, AD_DEF:8, AP_DEF:35","회피 +30%, 비행 (지형 효과 무시)",요정의 숲 (히든)
1703,변덕스러운 마법봉,운명의 장비,B~S,10~35,ATK:40~150,랜덤 속성 부여 (매 공격 변경),혼돈의 균열
2702,도박꾼의 조끼,운명의 장비,C~A,10~45,HP:150~500,피격 시 50% 확률로 피해 2배 또는 0,카지노 던전
1503,잠든 용의 이빨,고대 유물,A,12,ATK:55,"드래곤 종족 +100%, 화염 저항 +20%",용의 묘지
